40.1965, -74.5250
40.2147, -74.5119
40.2171, -74.4961
40.2162, -74.4764
40.2261, -74.4720
40.2346, -74.4711
40.2434, -74.4711
40.2537, -74.4706
40.2676, -74.4722
40.2784, -74.4761
40.2863, -74.4820
40.2975, -74.5002
40.3046, -74.5137
40.3046, -74.5383
40.2997, -74.5597
40.2944, -74.5787
40.2844, -74.6058
40.2691, -74.6067
40.2614, -74.6067
40.2485, -74.6053
40.2303, -74.6030
40.2140, -74.5963
40.2140, -74.5805
40.2184, -74.5704
40.2189, -74.5596
40.2178, -74.5516
40.2163, -74.5397
40.2147, -74.5300
40.2107, -74.5275
40.2066, -74.5317
40.2026, -74.5381
40.1986, -74.5376
40.1944, -74.5296
40.1951, -74.5252
